M06_DTSAIDA,M06_VEIC_PLACA,M06_ID_CLIENTE,A00_FANTASIA,Soma de M06_TOTPRO,A76_ID_EMP
2025-04-08 00:00:00,PNQ3270,162,SUPER LAGOA - CD,"R$ 10845,87",81
2025-04-08 00:00:00,OSH4598,322,PINHEIRO - CD,"R$ 9888,44",81
2025-04-08 00:00:00,PNP4814,10752,POPULAR ATACADISTA,"R$ 9814,80",81
2025-04-08 00:00:00,NNK0323,976,COMETA (HENRIQUE JORGE),"R$ 5666,66",81
2025-04-08 00:00:00,PNP4654,11268,PASSAKI - CAUCAIA,"R$ 4140,84",81
2025-04-08 00:00:00,RIG8G48,11220,MAE RAINHA - MARACANAU,"R$ 3981,81",81
2025-04-08 00:00:00,NNK0323,11809,COMETA (JOAO XXIII),"R$ 3461,35",81
2025-04-08 00:00:00,RIG8G48,11219,MAE RAINHA - ITAITINGA,"R$ 3396,25",81
2025-04-08 00:00:00,NNK0323,1482,COMETA (JOSE LEON),"R$ 3272,64",81
2025-04-08 00:00:00,NNK0323,989,COMETA (CASTELO BRANCO),"R$ 3045,75",81
2025-04-08 00:00:00,NNK0323,4803,COMETA (JOVITA FEITOSA),"R$ 2957,05",81
2025-04-08 00:00:00,NNK0323,10946,COMETA (CARLITO PAMPLONA),"R$ 2667,72",81
2025-04-08 00:00:00,NNK0323,9339,COMETA (JACARECANGA),"R$ 2467,57",81
2025-04-08 00:00:00,NNK0323,2309,COMETA (TREZE DE MAIO),"R$ 2423,02",81
2025-04-08 00:00:00,NNK0323,11775,COMETA (BARAO DO RIO BRANCO),"R$ 2167,27",81
2025-04-08 00:00:00,PNP4654,9296,SUPER CUMBUCO - CAUCAIA - LJ 02,"R$ 2116,90",81
2025-04-08 00:00:00,PNP4654,2240,SUPER CUMBUCO - CUMBUCO - LJ 01,"R$ 1943,38",81
2025-04-08 00:00:00,NNK0323,4393,COMETA (PE ANTONIO TOMAS),"R$ 1786,28",81
2025-04-08 00:00:00,RIG8G48,1963,LAREDO - MARANGUAPE,"R$ 1512,96",81
2025-04-08 00:00:00,NNK0323,11879,COMETA (PATIO OLIVEIRA PAIVA),"R$ 1132,04",81
2025-04-08 00:00:00,PNP4654,11412,MIRELLY - CONJ CEARA,"R$ 1057,68",81
2025-04-08 00:00:00,NNK0323,10948,COMETA (MONDUBIM),"R$ 976,23",81
2025-04-08 00:00:00,OSH4598,3386,SUPERMERCADO ISRAEL - LJ 06,"R$ 886,80",81
2025-04-08 00:00:00,NNK0323,10947,COMETA (MESSEJANA),"R$ 878,25",81
2025-04-08 00:00:00,RIG8G48,2126,NOVO SIQUEIRA,"R$ 871,00",81
2025-04-08 00:00:00,PNP4654,9295,PARA TY - ICARAI,"R$ 870,16",81
2025-04-08 00:00:00,PNP4654,11751,SUPER PRECO BOM - JUREMA,"R$ 748,60",81
2025-04-08 00:00:00,RIG8G48,4137,PANIFICADORA RAFAELLY,"R$ 559,78",81
2025-04-08 00:00:00,PNP4654,1450,SUPERMERCADO MAR & SOL,"R$ 520,89",81
2025-04-08 00:00:00,RIG8G48,12038,MERCADINHO BOM NO PREÇO,"R$ 434,30",81
2025-04-08 00:00:00,RIG8G48,11513,NOVO SIQUEIRA - LJ02,"R$ 389,60",81
2025-04-08 00:00:00,PNP4654,9595,CRIS ATACADISTA,"R$ 302,08",81
2025-04-08 00:00:00,OSH4598,3412,SUPER PALMEIRAS,"R$ 242,00",81
2025-04-08 00:00:00,PNP4654,1553,MERCADINHO DA RAIMUNDA,"R$ 218,10",81
2025-04-08 00:00:00,PNP4654,1692,BENCAO DE DEUS - CAUCAIA,"R$ 209,45",81
2025-04-08 00:00:00,OSH4598,11927,MERCADINHO EVANDRO,"R$ 198,00",81
2025-04-08 00:00:00,PNP4654,1548,LIVIA PAN PANIFICADORA,"R$ 182,30",81
2025-04-08 00:00:00,PNP4654,4220,MERCANTIL FEIRA DO POVO,"R$ 158,70",81
