M06_DTSAIDA,M06_ID_A76,M06_VEIC_PLACA,A76_DESC,M06_ID,DETALHE 2,M06_ID_CLIENTE,A00_NOME,A00_FANTASIA,E02_LIVRE,E02_DESC,E01_DESC,E02_REF,E02_PESO_LIQ,Soma de M07_QTD,M07_PRECO,VOLUME 2,FATURAMENTO BRUTO 2,DESCONTO,PREÇO FINAL,FATURAMENTO LÍQUIDO 2,A70_DESC,A00_END_BAI,A02_DESC,A14_CODIGO,DESCRIÇÃO_ROTA,A00_ID_VEND,NOME VENDEDOR,A00_ID_VEND_2,NOME SUPERVISOR,A76_ID_EMP,_01_FANTASIA
2025-04-08 00:00:00,38,PNP4654,LJ 81 - (VEN) Venda NF,108641,VEN-DATA ENTREGA: 08/04/2025,11751,SUPER PRECO BOM SUPERMERCADO LTDA,SUPER PRECO BOM - JUREMA,138070,BEBIDA LACTEA DE MORANGO VALE MILK 900G,BEBIDA LACTEA,BL SC MOR 900G,"0,90","12,00","R$ 4,00","10,80","R$ 48,00","0,00%","R$ 4,00","R$ 48,00",28 dias Boleto,Arianópolis,CAUCAIA,100,L81 - AUTO SERVICO 1,11902,DENIS FERNANDES DA COSTA,11746,JOAO NAZARENO AIRES BARBOSA,81,Valemilk - Filial - LJ 81
2025-04-08 00:00:00,38,PNP4654,LJ 81 - (VEN) Venda NF,108641,VEN-DATA ENTREGA: 08/04/2025,11751,SUPER PRECO BOM SUPERMERCADO LTDA,SUPER PRECO BOM - JUREMA,138170,BEBIDA LACTEA DE SALADA DE FRUTA VALE MILK 900G,BEBIDA LACTEA,BL SC S/FRUT 900G,"0,90","12,00","R$ 4,00","10,80","R$ 48,00","0,00%","R$ 4,00","R$ 48,00",28 dias Boleto,Arianópolis,CAUCAIA,100,L81 - AUTO SERVICO 1,11902,DENIS FERNANDES DA COSTA,11746,JOAO NAZARENO AIRES BARBOSA,81,Valemilk - Filial - LJ 81
2025-04-08 00:00:00,38,PNP4654,LJ 81 - (VEN) Venda NF,108641,VEN-DATA ENTREGA: 08/04/2025,11751,SUPER PRECO BOM SUPERMERCADO LTDA,SUPER PRECO BOM - JUREMA,138265,BEBIDA LACTEA DE AMEIXA VALE MILK 900G,BEBIDA LACTEA,BL SC AME 900G,"0,90","6,00","R$ 4,00","5,40","R$ 24,00","0,00%","R$ 4,00","R$ 24,00",28 dias Boleto,Arianópolis,CAUCAIA,100,L81 - AUTO SERVICO 1,11902,DENIS FERNANDES DA COSTA,11746,JOAO NAZARENO AIRES BARBOSA,81,Valemilk - Filial - LJ 81
2025-04-08 00:00:00,38,PNP4654,LJ 81 - (VEN) Venda NF,108641,VEN-DATA ENTREGA: 08/04/2025,11751,SUPER PRECO BOM SUPERMERCADO LTDA,SUPER PRECO BOM - JUREMA,138365,BEBIDA LACTEA DE GOIABA VALE MILK 900G,BEBIDA LACTEA,BL SC GOIA 900G,"0,90","6,00","R$ 4,00","5,40","R$ 24,00","0,00%","R$ 4,00","R$ 24,00",28 dias Boleto,Arianópolis,CAUCAIA,100,L81 - AUTO SERVICO 1,11902,DENIS FERNANDES DA COSTA,11746,JOAO NAZARENO AIRES BARBOSA,81,Valemilk - Filial - LJ 81
2025-04-08 00:00:00,38,PNP4654,LJ 81 - (VEN) Venda NF,108641,VEN-DATA ENTREGA: 08/04/2025,11751,SUPER PRECO BOM SUPERMERCADO LTDA,SUPER PRECO BOM - JUREMA,152030,REQUEIJAO TRAD VALE MILK 200G,REQUEIJAO,RQ TRAD 200G,"0,20","12,00","R$ 6,50","2,40","R$ 78,00","0,00%","R$ 6,50","R$ 78,00",28 dias Boleto,Arianópolis,CAUCAIA,100,L81 - AUTO SERVICO 1,11902,DENIS FERNANDES DA COSTA,11746,JOAO NAZARENO AIRES BARBOSA,81,Valemilk - Filial - LJ 81
2025-04-08 00:00:00,38,PNP4654,LJ 81 - (VEN) Venda NF,108641,VEN-DATA ENTREGA: 08/04/2025,11751,SUPER PRECO BOM SUPERMERCADO LTDA,SUPER PRECO BOM - JUREMA,152050,REQUEIJAO TRAD VALE MILK 400G,REQUEIJAO,RQ TRAD 400G,"0,40","6,00","R$ 10,60","2,40","R$ 63,60","0,00%","R$ 10,60","R$ 63,60",28 dias Boleto,Arianópolis,CAUCAIA,100,L81 - AUTO SERVICO 1,11902,DENIS FERNANDES DA COSTA,11746,JOAO NAZARENO AIRES BARBOSA,81,Valemilk - Filial - LJ 81
2025-04-08 00:00:00,38,PNP4654,LJ 81 - (VEN) Venda NF,108641,VEN-DATA ENTREGA: 08/04/2025,11751,SUPER PRECO BOM SUPERMERCADO LTDA,SUPER PRECO BOM - JUREMA,152130,REQUEIJAO LIGHT VALE MILK 200G,REQUEIJAO,RQ LIGHT 200G,"0,20","6,00","R$ 6,50","1,20","R$ 39,00","0,00%","R$ 6,50","R$ 39,00",28 dias Boleto,Arianópolis,CAUCAIA,100,L81 - AUTO SERVICO 1,11902,DENIS FERNANDES DA COSTA,11746,JOAO NAZARENO AIRES BARBOSA,81,Valemilk - Filial - LJ 81
2025-04-08 00:00:00,38,PNP4654,LJ 81 - (VEN) Venda NF,108641,VEN-DATA ENTREGA: 08/04/2025,11751,SUPER PRECO BOM SUPERMERCADO LTDA,SUPER PRECO BOM - JUREMA,152150,REQUEIJAO LIGHT VALE MILK 400G,REQUEIJAO,RQ LIGHT 400G,"0,40","6,00","R$ 10,60","2,40","R$ 63,60","0,00%","R$ 10,60","R$ 63,60",28 dias Boleto,Arianópolis,CAUCAIA,100,L81 - AUTO SERVICO 1,11902,DENIS FERNANDES DA COSTA,11746,JOAO NAZARENO AIRES BARBOSA,81,Valemilk - Filial - LJ 81
2025-04-08 00:00:00,38,PNP4654,LJ 81 - (VEN) Venda NF,108641,VEN-DATA ENTREGA: 08/04/2025,11751,SUPER PRECO BOM SUPERMERCADO LTDA,SUPER PRECO BOM - JUREMA,153035,NATA COM SAL VALE MILK 200G,MANTEIGA,NATA COM SAL 200G,"0,20","12,00","R$ 7,00","2,40","R$ 84,00","0,00%","R$ 7,00","R$ 84,00",28 dias Boleto,Arianópolis,CAUCAIA,100,L81 - AUTO SERVICO 1,11902,DENIS FERNANDES DA COSTA,11746,JOAO NAZARENO AIRES BARBOSA,81,Valemilk - Filial - LJ 81
2025-04-08 00:00:00,38,PNP4654,LJ 81 - (VEN) Venda NF,108641,VEN-DATA ENTREGA: 08/04/2025,11751,SUPER PRECO BOM SUPERMERCADO LTDA,SUPER PRECO BOM - JUREMA,154520,DOCE DE LEITE VALE MILK 400G,DOCE DE LEITE,DOCE DE LEITE 400G,"0,40","12,00","R$ 8,40","4,80","R$ 100,80","0,00%","R$ 8,40","R$ 100,80",28 dias Boleto,Arianópolis,CAUCAIA,100,L81 - AUTO SERVICO 1,11902,DENIS FERNANDES DA COSTA,11746,JOAO NAZARENO AIRES BARBOSA,81,Valemilk - Filial - LJ 81
2025-04-08 00:00:00,38,PNP4654,LJ 81 - (VEN) Venda NF,108641,VEN-DATA ENTREGA: 08/04/2025,11751,SUPER PRECO BOM SUPERMERCADO LTDA,SUPER PRECO BOM - JUREMA,168054,BEBIDA LACTEA BANDEJA MORANGO VALEMILK 540G,BEBIDA LACTEA,BL BDJ MOR 540G,"0,54","5,00","R$ 4,30","2,70","R$ 21,50","0,00%","R$ 4,30","R$ 21,50",28 dias Boleto,Arianópolis,CAUCAIA,100,L81 - AUTO SERVICO 1,11902,DENIS FERNANDES DA COSTA,11746,JOAO NAZARENO AIRES BARBOSA,81,Valemilk - Filial - LJ 81
2025-04-08 00:00:00,38,PNP4654,LJ 81 - (VEN) Venda NF,108641,VEN-DATA ENTREGA: 08/04/2025,11751,SUPER PRECO BOM SUPERMERCADO LTDA,SUPER PRECO BOM - JUREMA,168454,BEBIDA LACTEA BANDEJA MOR/SF VALEMILK 540G,BEBIDA LACTEA,BL BDJ S/FRUT 540G,"0,54","5,00","R$ 4,30","2,70","R$ 21,50","0,00%","R$ 4,30","R$ 21,50",28 dias Boleto,Arianópolis,CAUCAIA,100,L81 - AUTO SERVICO 1,11902,DENIS FERNANDES DA COSTA,11746,JOAO NAZARENO AIRES BARBOSA,81,Valemilk - Filial - LJ 81
