M06_DTSAIDA,M06_ID_A76,M06_VEIC_PLACA,A76_DESC,M06_ID,DETALHE 2,M06_ID_CLIENTE,A00_NOME,A00_FANTASIA,E02_LIVRE,E02_DESC,E01_DESC,E02_REF,E02_PESO_LIQ,Soma de M07_QTD,M07_PRECO,VOLUME 2,FATURAMENTO BRUTO 2,DESCONTO,PREÇO FINAL,FATURAMENTO LÍQUIDO 2,A70_DESC,A00_END_BAI,A02_DESC,A14_CODIGO,DESCRIÇÃO_ROTA,A00_ID_VEND,NOME VENDEDOR,A00_ID_VEND_2,NOME SUPERVISOR,A76_ID_EMP,_01_FANTASIA
2025-03-18 00:00:00,110,,LJ 82 - (DCR) Saída - Devolução com Retorno,107024,DCR-DATA ENTREGA: 18/03/2025,9447,MATEUS SUPERMERCADOS SA,MATEUS - CRATEUS,120245,QUEIJO COALHO TRAD VALE MILK 500G,QUEIJO,QC TRAD 500G,"1,00","177,00","R$ 30,50","177,00","R$ 5398,50","0,00%","R$ 30,50","R$ 5398,50",Troc\Bonif\Dev\Deg,FATIMA II,CRATEUS,360,L82-CRATEUS-SEDE,11951,FRANCISCO ENNIO ANDRADE RICARTE,11984,FRANCISCO PASCOAL DA CRUZ VIRTUDIO,82,Valemilk - Interior - LJ 82
2025-03-18 00:00:00,110,,LJ 82 - (DCR) Saída - Devolução com Retorno,107024,DCR-DATA ENTREGA: 18/03/2025,9447,MATEUS SUPERMERCADOS SA,MATEUS - CRATEUS,177001,COALHADA INTEGRAL VALE MILK 140G,COALHADA,COALHADA INT 140G,"0,14","1,00","R$ 2,30","0,14","R$ 2,30","0,00%","R$ 2,30","R$ 2,30",Troc\Bonif\Dev\Deg,FATIMA II,CRATEUS,360,L82-CRATEUS-SEDE,11951,FRANCISCO ENNIO ANDRADE RICARTE,11984,FRANCISCO PASCOAL DA CRUZ VIRTUDIO,82,Valemilk - Interior - LJ 82
2025-03-19 00:00:00,38,NNK0323,LJ 81 - (VEN) Venda NF,106827,VEN-DATA ENTREGA: 19/03/2025,10756,MATEUS SUPERMERCADOS S.A.,MATEUS - HENRIQUE JORGE,120245,QUEIJO COALHO TRAD VALE MILK 500G,QUEIJO,QC TRAD 500G,"1,00","555,00","R$ 30,50","555,00","R$ 16927,50","0,00%","R$ 30,50","R$ 16927,50",40 dias Boleto,DOM LUSTOSA,FORTALEZA,349,L81 - AS - MATEUS,12033,MARCOS ANTONIO GONCALVES MAGALHAES,12033,MARCOS ANTONIO GONCALVES MAGALHAES,81,Valemilk - Filial - LJ 81
2025-03-19 00:00:00,38,NNK0323,LJ 81 - (VEN) Venda NF,106827,VEN-DATA ENTREGA: 19/03/2025,10756,MATEUS SUPERMERCADOS S.A.,MATEUS - HENRIQUE JORGE,120345,QUEIJO COALHO LIGHT VALE MILK 500G,QUEIJO,QC LIGHT 500G,"1,00","3,00","R$ 37,00","3,00","R$ 111,00","0,00%","R$ 37,00","R$ 111,00",40 dias Boleto,DOM LUSTOSA,FORTALEZA,349,L81 - AS - MATEUS,12033,MARCOS ANTONIO GONCALVES MAGALHAES,12033,MARCOS ANTONIO GONCALVES MAGALHAES,81,Valemilk - Filial - LJ 81
2025-03-19 00:00:00,38,NNK0323,LJ 81 - (VEN) Venda NF,106827,VEN-DATA ENTREGA: 19/03/2025,10756,MATEUS SUPERMERCADOS S.A.,MATEUS - HENRIQUE JORGE,120445,QUEIJO COALHO ZERO LAC VALE MILK 500G,QUEIJO,QC ZERO LACT 500G,"1,00","3,00","R$ 39,43","3,00","R$ 118,29","0,00%","R$ 39,43","R$ 118,29",40 dias Boleto,DOM LUSTOSA,FORTALEZA,349,L81 - AS - MATEUS,12033,MARCOS ANTONIO GONCALVES MAGALHAES,12033,MARCOS ANTONIO GONCALVES MAGALHAES,81,Valemilk - Filial - LJ 81
2025-03-19 00:00:00,38,NNK0323,LJ 81 - (VEN) Venda NF,106827,VEN-DATA ENTREGA: 19/03/2025,10756,MATEUS SUPERMERCADOS S.A.,MATEUS - HENRIQUE JORGE,121035,QUEIJO MINAS FRESCAL TRAD VALE MILK 250G,QUEIJO,QMF TRAD 250G,"1,00","3,00","R$ 41,00","3,00","R$ 123,00","0,00%","R$ 41,00","R$ 123,00",40 dias Boleto,DOM LUSTOSA,FORTALEZA,349,L81 - AS - MATEUS,12033,MARCOS ANTONIO GONCALVES MAGALHAES,12033,MARCOS ANTONIO GONCALVES MAGALHAES,81,Valemilk - Filial - LJ 81
2025-03-19 00:00:00,38,NNK0323,LJ 81 - (VEN) Venda NF,106827,VEN-DATA ENTREGA: 19/03/2025,10756,MATEUS SUPERMERCADOS S.A.,MATEUS - HENRIQUE JORGE,121135,QUEIJO MINAS FRESCAL LIGHT VALE MILK 250G,QUEIJO,QMF LIGHT 250G,"1,00","3,00","R$ 36,00","3,00","R$ 108,00","0,00%","R$ 36,00","R$ 108,00",40 dias Boleto,DOM LUSTOSA,FORTALEZA,349,L81 - AS - MATEUS,12033,MARCOS ANTONIO GONCALVES MAGALHAES,12033,MARCOS ANTONIO GONCALVES MAGALHAES,81,Valemilk - Filial - LJ 81
2025-03-19 00:00:00,38,NNK0323,LJ 81 - (VEN) Venda NF,106827,VEN-DATA ENTREGA: 19/03/2025,10756,MATEUS SUPERMERCADOS S.A.,MATEUS - HENRIQUE JORGE,121235,QUEIJO MINAS FRESCAL ZERO VALE MILK 250G,QUEIJO,QMF ZERO LACT 250G,"1,00","3,00","R$ 41,00","3,00","R$ 123,00","0,00%","R$ 41,00","R$ 123,00",40 dias Boleto,DOM LUSTOSA,FORTALEZA,349,L81 - AS - MATEUS,12033,MARCOS ANTONIO GONCALVES MAGALHAES,12033,MARCOS ANTONIO GONCALVES MAGALHAES,81,Valemilk - Filial - LJ 81
2025-03-19 00:00:00,38,NNK0323,LJ 81 - (VEN) Venda NF,106827,VEN-DATA ENTREGA: 19/03/2025,10756,MATEUS SUPERMERCADOS S.A.,MATEUS - HENRIQUE JORGE,121835,RICOTA VALE MILK 200G,RICOTA,RICOTA 200G,"1,00","5,00","R$ 22,50","5,00","R$ 112,50","0,00%","R$ 22,50","R$ 112,50",40 dias Boleto,DOM LUSTOSA,FORTALEZA,349,L81 - AS - MATEUS,12033,MARCOS ANTONIO GONCALVES MAGALHAES,12033,MARCOS ANTONIO GONCALVES MAGALHAES,81,Valemilk - Filial - LJ 81
2025-03-19 00:00:00,38,RIG8G48,LJ 81 - (VEN) Venda NF,106828,VEN-DATA ENTREGA: 19/03/2025,9635,MATEUS SUPERMERCADOS SA,MATEUS - MARACANAU,120245,QUEIJO COALHO TRAD VALE MILK 500G,QUEIJO,QC TRAD 500G,"1,00","400,00","R$ 30,50","400,00","R$ 12200,00","0,00%","R$ 30,50","R$ 12200,00",40 dias Boleto,PAJUCARA,MARACANAU,349,L81 - AS - MATEUS,12033,MARCOS ANTONIO GONCALVES MAGALHAES,12033,MARCOS ANTONIO GONCALVES MAGALHAES,81,Valemilk - Filial - LJ 81
