DATA;CAMINHAO;CODIGO;NOME FANTASIA; FATURAMENTO ;PESO;LATITUDE;LONGITUDE;LATITUDE CASA;LONGITUDE CASA;CARGA;TURNO RECEBIMENTO
23/04/2025 00:00;OSH4598;151;COMPREMAX - MISTER HULL; R$ 1.849,20 ;75,2;-3.7392121;-38.5924565;-3.757263539864100;-38.585408119532300;1590;DIURNO
23/04/2025 00:00;PNP4814;153;SUPER PORTUGAL - BRAGANCA; R$ 327,30 ;9,6;-3.7807845;-38.5966783;-3.757263539864100;-38.585408119532300;1590;DIURNO
23/04/2025 00:00;PNP4814;317;EXITO - PRQ POTIRA II; R$ 1.266,00 ;60,7;-3.7688869;-38.6231497;-3.757263539864100;-38.585408119532300;1590;MANHA
23/04/2025 00:00;OSH4598;348;COMPREMAX - SGT HERMINIO; R$ 926,00 ;39,8;-3.730491;-38.5771848;-3.757263539864100;-38.585408119532300;1590;DIURNO
23/04/2025 00:00;PNP4814;611;SUPER PORTUGAL - MARAPONGA; R$ 293,00 ;8,6;-3.7842908;-38.5691114;-3.757263539864100;-38.585408119532300;1590;DIURNO
23/04/2025 00:00;RIG8G48;620;SUPER PORTUGAL - VILA PERI; R$ 647,80 ;19;-3.7802372;-38.5784333;-3.757263539864100;-38.585408119532300;1590;DIURNO
23/04/2025 00:00;OSH4598;709;COMPREMAX - GODOFREDO; R$ 831,40 ;46,9;-3.83265451;-38.58103395;-3.757263539864100;-38.585408119532300;1590;DIURNO
23/04/2025 00:00;PNP4814;715;EXITO - PRQ POTIRA III; R$ 542,00 ;15,1;-3.767533;-38.6248232;-3.757263539864100;-38.585408119532300;1590;MANHA
23/04/2025 00:00;PNP4654;718;COMPREMAX - JUREMA; R$ 1.307,20 ;105,9;-3.77334061;-38.62707738;-3.757263539864100;-38.585408119532300;1590;DIURNO
23/04/2025 00:00;PNP4654;719;EXITO - PRQ ALBANO; R$ 1.407,40 ;87,7;-3.7594355;-38.6163545;-3.757263539864100;-38.585408119532300;1590;MANHA
23/04/2025 00:00;NNK0323;874;COMETA (JOAO CARLOS); R$ 2.635,74 ;155,6;-3.782635;-38.5538401;-3.757263539864100;-38.585408119532300;5200;DIURNO
23/04/2025 00:00;RIG8G48;884;SUPER PORTUGAL - CIDADE DOS FUNC; R$ 2.101,00 ;62,1;-3.7899059;-38.495258;-3.757263539864100;-38.585408119532300;1590;DIURNO
23/04/2025 00:00;NNK0323;954;COMETA (JOAQUIM FELICIO); R$ 3.788,99 ;204,7;-3.8301305;-38.4875383;-3.757263539864100;-38.585408119532300;5200;DIURNO
23/04/2025 00:00;OCB9225;967;COMETA (J DA PENHA); R$ 3.142,99 ;160,1;-3.7374817;-38.5204755;-3.757263539864100;-38.585408119532300;1590;DIURNO
23/04/2025 00:00;OSH4598;989;COMETA (CASTELO BRANCO); R$ 4.674,06 ;255;-3.7049139;-38.5780082;-3.757263539864100;-38.585408119532300;1590;DIURNO
23/04/2025 00:00;NNK0323;1049;COMETA (OLIVEIRA PAIVA); R$ 1.592,32 ;64,7;-3.7955137;-38.4901664;-3.757263539864100;-38.585408119532300;5200;DIURNO
