M06_DTSAIDA,M06_VEIC_PLACA,M06_ID_CLIENTE,A00_FANTASIA,Soma de M06_TOTPRO,PESO
2025-04-16 00:00:00,PNP4814,455,SUPERMERCADO BISTECAO,"R$ 1210,00","71,0"
2025-04-16 00:00:00,PNQ3270,972,CENTERBOX - CONCEITO,"R$ 1495,60","57,6"
2025-04-16 00:00:00,PNP4654,9295,PARA TY - ICARAI,"R$ 506,00","33,1"
2025-04-16 00:00:00,PNP4654,9300,MARCOS ANTONIO SOUSA DA SILVA,"R$ 171,60","13,2"
2025-04-16 00:00:00,PNP4654,9586,CENTERBOX - ATACAREJO,"R$ 1365,64","119,2"
2025-04-16 00:00:00,PNP4654,10934,SUPERMERCADO ERIVALDO,"R$ 242,40","8,4"
2025-04-16 00:00:00,PNP4814,10955,JUNIOR MERCANTIL,"R$ 202,50","10,0"
2025-04-16 00:00:00,PNQ3270,11032,COOKIE,"R$ 660,00","15,0"
2025-04-16 00:00:00,PNQ3270,11047,CASA BEA EIRELI,"R$ 587,00","12,4"
2025-04-16 00:00:00,PNP4654,11242,MERCADINHO JR XIMENES,"R$ 137,70","6,8"
2025-04-16 00:00:00,PNP4814,11455,SUPER GENTILANDIA - BENFICA,"R$ 900,00","48,0"
2025-04-16 00:00:00,PNP4814,11595,CENTERBOX - VITAL BRASIL,"R$ 876,64","75,2"
2025-04-16 00:00:00,OSH4598,11802,SEMPRE AKI - LJ01,"R$ 1240,00","89,6"
2025-04-16 00:00:00,OSH4598,11803,SEMPRE AKI - LJ02,"R$ 2608,00","144,8"
2025-04-16 00:00:00,OSH4598,11804,SEMPRE AKI - LJ03,"R$ 1232,80","40,4"
2025-04-16 00:00:00,OSH4598,11851,CENTERBOX - CURIO,"R$ 1601,36","100,0"
2025-04-16 00:00:00,RIG8G48,11895,CENTERBOX - PEDRAS,"R$ 3770,84","223,6"
2025-04-16 00:00:00,RIG8G48,11896,CENTERBOX - PARQUE DOM PEDRO,"R$ 939,28","35,0"
2025-04-16 00:00:00,OSH4598,11898,CENTERBOX - VALPARAISO,"R$ 3318,92","152,5"
2025-04-16 00:00:00,OSH4598,11899,CENTERBOX - LAGOA REDONDA,"R$ 1600,70","92,3"
2025-04-16 00:00:00,RIG8G48,11946,CENTERBOX - PARQUE SANTA MARIA,"R$ 1261,40","75,9"
